Country,Income Classification,Severe Wasting,Wasting,Overweight,Stunting,Underweight,U5 Population ('000s)
MALI,0,4.457142857,13.24285714,2.2,34.41428571,26.67142857,2533.564286
MARSHALL ISLANDS,2,1.1,3.5,4.1,34.8,11.9,1
MAURITANIA,1,3.975,13.41,2.6375,34.17,24.86666667,500.2949
MAURITIUS,2,,17,7.65,20.45,17.05,107.675
MEXICO,2,0.65,3.825,7.371428571,19.175,6.525,11349.53525
MONGOLIA,1,0.9625,2.444444444,9.925,20.77777778,5.911111111,290.8246667
MONTENEGRO,2,1.7,3.5,19,8.65,1.6,39.3245
MOROCCO,1,1.95,4.483333333,10.86666667,23.85,6.916666667,3310.867167
MOZAMBIQUE,0,2.566666667,6.8,6.566666667,47.84285714,20.75714286,3619.840286
MYANMAR,1,2.5,9.771428571,4.62,45.1,29.75555556,5089.456556
NAMIBIA,2,2.75,8.575,4.125,29.2,18.05,273.5885
NAURU,2,0.2,1,2.8,24,4.8,1
NEPAL,0,2.528571429,10.325,1.028571429,51.9125,36.95,3226.073625
NICARAGUA,1,0.75,2.033333333,6.55,24.06666667,7.033333333,671.9388333
NIGER (THE),0,4.33,15.93636364,1.52,46,38.26363636,3137.215818
NIGERIA,1,4.38,12.04545455,4.890909091,39.46363636,26.68181818,26759.82036
NORTH MACEDONIA,2,0.633333333,2.3,12.73333333,8.066666667,1.666666667,125.1286667
OMAN,3,1.68,7.783333333,3.55,16.06666667,11.91666667,332.156
PAKISTAN,1,4.5,14.31428571,4.757142857,46.67142857,33.7375,21774.89788
PANAMA,3,0.333333333,1.366666667,9.066666667,19.83333333,4.733333333,346.0026667
PAPUA NEW GUINEA,1,2.8,8,6.733333333,46.46666667,22.9,869.428
PARAGUAY,2,0.333333333,1.325,9.275,13.025,2.525,679.47625
PERU,2,0.213333333,0.793333333,8.94,21.86,4.32,2922.8424
PHILIPPINES,1,1.92,7.127272727,3.1,36.27272727,24.14545455,10529.68327
POLAND,3,,,,2.75,,1951.373
QATAR,3,,2.1,10.4,11.6,4.8,50.012
REPUBLIC OF KOREA,3,0.15,1.05,6.75,2.5,0.8,2487.097
REPUBLIC OF MOLDOVA,1,1.45,3.85,6.9,8.55,2.7,215.5515
ROMANIA,2,0.9,3.72,8.08,13.22,3.88,1268.1806
RWANDA,0,1.425,4.866666667,6.314285714,46.31111111,15.88888889,1423.755333
SAINT LUCIA,2,0.7,3.7,6.3,2.5,2.8,11.07
SAMOA,2,1.3,2.6,5.75,5.65,2.45,27.0955
SAO TOME AND PRINCIPE,1,2.333333333,7.02,9.55,28.88,11.26,25.896
SAUDI ARABIA,3,4.5,7.35,3.65,15.35,9.4,2744.397
SENEGAL,1,1.825,8.271428571,2.115384615,22.73571429,16.3,2036.353071
SERBIA,2,1.233333333,3.966666667,16.26666667,6.9,1.733333333,489.8266667
SEYCHELLES,3,1.2,3.5,8,7.8,4.3,8.1065
SIERRA LEONE,0,3.075,8.61,6.2375,37.2,20.39,982.5267
SINGAPORE,3,0.5,3.6,2.6,4.4,3.3,237.083
SOLOMON ISLANDS,1,2.333333333,6.733333333,2.966666667,32.73333333,14.66666667,73.68666667
SOMALIA,0,4.35,15.63333333,3.85,32.16666667,26.03333333,2017.326333
SOUTH AFRICA,2,2.92,5.371428571,13.61428571,29.07142857,9.714285714,5274.622
SOUTH SUDAN,0,11.4,23.65,8.45,33.75,30.1,1459.2625
SRI LANKA,2,2.45,15.7625,1.05,21.8625,26,1753.71225
STATE OF PALESTINE,1,0.85,3.733333333,7.58,11.55,2.92,594.9526667
SUDAN,1,4.766666667,15.4,2.9,36.86666667,29.93333333,5551.013
SURINAME,2,1.266666667,5.633333333,3.633333333,11.16666667,8.133333333,53.05966667
SYRIAN ARAB REPUBLIC,0,5.05,9.566666667,17.825,28.55,10.05,2476.209333
TAJIKISTAN,0,2.483333333,8.290909091,6.116666667,33.77272727,10.93333333,979.9402727
THAILAND,2,1.475,6.083333333,6.62,17.73333333,12.46666667,4651.628833
TIMOR-LESTE,1,4.775,15.62,3.65,55.38,42.8,160.4448
TOGO,0,2.0375,7.7125,2.4,30.92222222,18.93333333,957.8651111
TONGA,2,2.1,3.25,17.3,5.15,1.9,13.9005
TRINIDAD AND TOBAGO,3,1.4,5.466666667,6.633333333,6.933333333,5.133333333,113.7133333
TUNISIA,1,1.1,3.583333333,9.08,12.45,3.65,928.927
TURKEY,2,0.6,2.1,7.75,14.35,4.842857143,6543.739571
TURKMENISTAN,2,1.6,6.166666667,5.2,19.5,7.633333333,563.6246667
TUVALU,2,0.9,3.3,6.3,10,1.6,1
UGANDA,0,1.333333333,4.522222222,4.277777778,38.33333333,15.53333333,5647.890556
UKRAINE,1,3.8,8.2,26.5,22.9,4.1,2160.097
UNITED REPUBLIC OF TANZANIA,0,1.5,5.054545455,4.54,40.99090909,17.72727273,7373.048909
UNITED STATES OF AMERICA,3,0.04,0.514285714,7.414285714,2.914285714,0.88,20077.90957
URUGUAY,3,0.65,2.383333333,9.166666667,14.24285714,5.128571429,255.659
UZBEKISTAN,1,2.975,6.475,10.925,23.7,7,2957.5055
VANUATU,1,1.7,5.8,4.8,26.76666667,11.26666667,31.77133333
VENEZUELA,2,,4.333333333,5.40952381,16.95714286,4.242857143,2787.800095
VIET NAM,1,2.33125,8.661904762,3.317647059,34.92272727,22.91818182,7507.220273
YEMEN,0,5.3,15.24285714,4.842857143,51.9,37.78571429,3269.476
ZAMBIA,1,2.042857143,5.542857143,7.228571429,48.1375,17.88571429,2083.4945
ZIMBABWE,1,1.388888889,4.166666667,5.788888889,30.45555556,10.71,1912.4504
