date,metal,average_price,minimum_price,maximum_price
4/28/2022,gold($/oz),1964.52,1863.77,2072.25
4/29/2022,gold($/oz),1964.25,1858.83,2076.66
5/2/2022,gold($/oz),1965.26,1859.98,2064.96
5/3/2022,gold($/oz),1965.04,1863.18,2071.95
5/4/2022,gold($/oz),1965.71,1859.24,2076.78
5/5/2022,gold($/oz),1965.66,1863.84,2064.65
5/6/2022,gold($/oz),1965.51,1866.32,2074.54
5/9/2022,gold($/oz),1967.01,1856.59,2063.33
5/10/2022,gold($/oz),1966.99,1865.03,2070.53
5/11/2022,gold($/oz),1967.88,1861.10,2071.47
5/12/2022,gold($/oz),1968.06,1870.34,2075.56
5/13/2022,gold($/oz),1968.16,1858.19,2073.40
5/16/2022,gold($/oz),1970.45,1863.60,2081.20
5/17/2022,gold($/oz),1970.7,1863.50,2079.97
5/18/2022,gold($/oz),1971.85,1867.52,2074.53
5/19/2022,gold($/oz),1972.3,1864.14,2079.69
5/20/2022,gold($/oz),1972.65,1869.45,2077.47
5/23/2022,gold($/oz),1975.64,1863.56,2076.55
5/24/2022,gold($/oz),1976.09,1872.80,2075.42
5/25/2022,gold($/oz),1977.42,1864.04,2087.57
5/26/2022,gold($/oz),1978.02,1873.00,2080.32
5/27/2022,gold($/oz),1978.5,1877.66,2081.15
5/30/2022,gold($/oz),1981.65,1872.51,2088.94
5/31/2022,gold($/oz),1982.07,1867.72,2084.57
6/1/2022,gold($/oz),1983.34,1876.37,2087.90
6/2/2022,gold($/oz),1983.83,1874.70,2087.67
6/3/2022,gold($/oz),1984.16,1875.62,2092.83
6/6/2022,gold($/oz),1986.62,1882.48,2101.04
6/7/2022,gold($/oz),1986.74,1885.68,2091.87
6/8/2022,gold($/oz),1987.66,1877.61,2092.84
6/9/2022,gold($/oz),1987.78,1881.70,2088.87
6/10/2022,gold($/oz),1987.71,1873.98,2091.68
6/13/2022,gold($/oz),1988.88,1886.41,2097.35
6/14/2022,gold($/oz),1988.56,1885.66,2099.62
6/15/2022,gold($/oz),1989.05,1883.50,2086.40
6/16/2022,gold($/oz),1988.75,1877.70,2092.18
6/17/2022,gold($/oz),1988.28,1884.39,2093.85
6/20/2022,gold($/oz),1988.45,1887.64,2100.60
6/21/2022,gold($/oz),1987.88,1882.02,2087.82
6/22/2022,gold($/oz),1988.17,1883.99,2084.84
6/23/2022,gold($/oz),1987.73,1878.87,2091.42
6/24/2022,gold($/oz),1987.18,1880.69,2091.33
6/27/2022,gold($/oz),1987.49,1884.87,2085.93
6/28/2022,gold($/oz),1987.1,1875.33,2093.32
6/29/2022,gold($/oz),1987.63,1880.90,2090.68
6/30/2022,gold($/oz),1987.5,1872.59,2089.11
7/1/2022,gold($/oz),1987.31,1879.88,2103.28
7/4/2022,gold($/oz),1989,1876.67,2090.50
7/5/2022,gold($/oz),1989.14,1883.54,2095.88
7/6/2022,gold($/oz),1990.24,1886.76,2092.09
7/7/2022,gold($/oz),1990.7,1882.39,2093.05
7/8/2022,gold($/oz),1991.1,1888.46,2089.38
7/11/2022,gold($/oz),1994.57,1891.30,2098.93
7/12/2022,gold($/oz),1995.28,1891.78,2100.29
7/13/2022,gold($/oz),1996.91,1895.03,2101.01
7/14/2022,gold($/oz),1997.87,1889.94,2110.92
7/15/2022,gold($/oz),1998.74,1888.04,2099.04
7/18/2022,gold($/oz),2003.35,1892.54,2112.20
7/19/2022,gold($/oz),2004.35,1901.86,2105.69
7/20/2022,gold($/oz),2006.22,1896.26,2114.28
7/21/2022,gold($/oz),2007.36,1906.09,2116.81
7/22/2022,gold($/oz),2008.38,1902.77,2112.94
7/25/2022,gold($/oz),2013.15,1911.04,2126.51
7/26/2022,gold($/oz),2014.14,1903.03,2125.43
7/27/2022,gold($/oz),2015.97,1909.18,2122.92
7/28/2022,gold($/oz),2017.05,1909.58,2116.78
7/29/2022,gold($/oz),2017.99,1912.42,2126.76
8/1/2022,gold($/oz),2022.5,1908.28,2123.61
8/2/2022,gold($/oz),2023.4,1917.90,2128.81
8/3/2022,gold($/oz),2025.16,1911.37,2129.18
8/4/2022,gold($/oz),2026.18,1923.17,2133.63
8/5/2022,gold($/oz),2027.08,1919.71,2137.84
8/8/2022,gold($/oz),2031.6,1925.39,2140.99
8/9/2022,gold($/oz),2032.55,1924.22,2143.08
8/10/2022,gold($/oz),2034.38,1922.71,2135.53
8/11/2022,gold($/oz),2035.5,1928.17,2140.27
8/12/2022,gold($/oz),2036.5,1932.15,2147.18
8/15/2022,gold($/oz),2041.39,1947.12,2151.21
8/16/2022,gold($/oz),2042.46,1939.01,2147.77
8/17/2022,gold($/oz),2044.4,1943.43,2146.85
8/18/2022,gold($/oz),2045.61,1933.53,2155.65
8/19/2022,gold($/oz),2046.69,1935.44,2148.42
8/22/2022,gold($/oz),2051.61,1940.01,2154.25
8/23/2022,gold($/oz),2052.61,1944.26,2158.14
8/24/2022,gold($/oz),2054.43,1952.41,2165.35
8/25/2022,gold($/oz),2055.47,1942.31,2168.21
8/26/2022,gold($/oz),2056.31,1940.10,2157.70
8/29/2022,gold($/oz),2060.18,1945.06,2165.55
8/30/2022,gold($/oz),2060.71,1955.44,2169.33
8/31/2022,gold($/oz),2062.01,1958.94,2169.77
9/1/2022,gold($/oz),2062.47,1949.62,2178.08
9/2/2022,gold($/oz),2062.7,1950.15,2164.86
9/5/2022,gold($/oz),2064.46,1960.19,2177.35
9/6/2022,gold($/oz),2064.24,1949.57,2172.56
9/7/2022,gold($/oz),2064.76,1957.02,2164.62
9/8/2022,gold($/oz),2064.44,1957.06,2173.62
9/9/2022,gold($/oz),2063.89,1959.97,2171.83
9/12/2022,gold($/oz),2063.44,1961.91,2168.71
9/13/2022,gold($/oz),2062.54,1962.06,2170.59
9/14/2022,gold($/oz),2062.44,1962.93,2170.00
9/15/2022,gold($/oz),2061.55,1955.41,2164.06
9/16/2022,gold($/oz),2060.49,1959.39,2173.91
9/19/2022,gold($/oz),2058.94,1950.54,2161.65
9/20/2022,gold($/oz),2057.82,1948.64,2159.57
9/21/2022,gold($/oz),2057.59,1953.29,2162.75
9/22/2022,gold($/oz),2056.65,1945.91,2166.23
9/23/2022,gold($/oz),2055.62,1947.38,2161.73
9/26/2022,gold($/oz),2054.63,1943.28,2165.30
9/27/2022,gold($/oz),2053.85,1940.22,2163.50
9/28/2022,gold($/oz),2054.01,1945.52,2166.38
9/29/2022,gold($/oz),2053.51,1945.62,2157.00
9/30/2022,gold($/oz),2052.97,1939.38,2150.99
10/3/2022,gold($/oz),2053.64,1945.04,2165.20
10/4/2022,gold($/oz),2053.44,1942.29,2160.78
10/5/2022,gold($/oz),2054.18,1933.35,2166.07
10/6/2022,gold($/oz),2054.26,1939.15,2165.43
10/7/2022,gold($/oz),2054.28,1946.50,2164.19
10/10/2022,gold($/oz),2056.42,1944.01,2160.93
10/11/2022,gold($/oz),2056.62,1948.05,2165.42
10/12/2022,gold($/oz),2057.71,1945.63,2157.49
10/13/2022,gold($/oz),2058.07,1951.84,2157.85
10/14/2022,gold($/oz),2058.31,1947.23,2162.49
10/17/2022,gold($/oz),2060.7,1954.81,2168.67
10/18/2022,gold($/oz),2060.85,1952.38,2165.64
10/19/2022,gold($/oz),2061.83,1953.22,2170.56
10/20/2022,gold($/oz),2062.02,1957.92,2169.83
10/21/2022,gold($/oz),2062.02,1948.29,2164.01
10/24/2022,gold($/oz),2063.46,1951.67,2170.23
10/25/2022,gold($/oz),2063.23,1948.87,2172.66
10/26/2022,gold($/oz),2063.8,1948.51,2169.33
10/27/2022,gold($/oz),2063.57,1961.58,2174.86
10/28/2022,gold($/oz),2063.16,1953.75,2174.81
10/31/2022,gold($/oz),2063.4,1952.70,2180.28
11/1/2022,gold($/oz),2062.81,1950.54,2172.37
11/2/2022,gold($/oz),2063.07,1946.45,2164.66
11/3/2022,gold($/oz),2062.56,1949.72,2181.70
11/4/2022,gold($/oz),2061.92,1956.10,2167.32
11/7/2022,gold($/oz),2061.75,1947.78,2165.91
11/8/2022,gold($/oz),2061.12,1957.21,2167.68
11/9/2022,gold($/oz),2061.39,1957.95,2173.80
11/10/2022,gold($/oz),2060.94,1950.04,2168.94
11/11/2022,gold($/oz),2060.39,1950.38,2172.96
11/14/2022,gold($/oz),2060.71,1958.41,2170.98
11/15/2022,gold($/oz),2060.3,1951.79,2162.45
11/16/2022,gold($/oz),2060.78,1949.34,2173.31
11/17/2022,gold($/oz),2060.55,1948.24,2173.07
11/18/2022,gold($/oz),2060.22,1945.83,2179.55
11/21/2022,gold($/oz),2061.07,1944.85,2167.07
11/22/2022,gold($/oz),2060.78,1948.62,2163.73
11/23/2022,gold($/oz),2061.34,1948.83,2182.74
11/24/2022,gold($/oz),2061.15,1944.45,2169.96
11/25/2022,gold($/oz),2060.81,1949.13,2163.94
11/28/2022,gold($/oz),2061.38,1940.97,2165.75
11/29/2022,gold($/oz),2060.9,1950.99,2161.83
11/30/2022,gold($/oz),2061.24,1947.46,2173.89
12/1/2022,gold($/oz),2060.8,1941.49,2167.28
12/2/2022,gold($/oz),2060.18,1955.38,2170.51
12/5/2022,gold($/oz),2059.83,1947.28,2173.85
12/6/2022,gold($/oz),2059.05,1941.87,2172.31
12/7/2022,gold($/oz),2059.12,1949.55,2174.86
12/8/2022,gold($/oz),2058.43,1941.11,2167.70
12/9/2022,gold($/oz),2057.6,1938.68,2170.38
12/12/2022,gold($/oz),2056.98,1936.83,2162.15
12/13/2022,gold($/oz),2056.25,1939.77,2167.89
12/14/2022,gold($/oz),2056.45,1947.78,2165.67
12/15/2022,gold($/oz),2055.97,1938.96,2161.63
12/16/2022,gold($/oz),2055.45,1938.30,2158.88
12/19/2022,gold($/oz),2056.26,1950.82,2162.50
12/20/2022,gold($/oz),2056.18,1948.66,2161.95
12/21/2022,gold($/oz),2057.09,1936.97,2163.49
12/22/2022,gold($/oz),2057.4,1944.02,2166.38
12/23/2022,gold($/oz),2057.72,1938.74,2172.02
12/26/2022,gold($/oz),2061.26,1949.15,2174.99
12/27/2022,gold($/oz),2062.12,1949.87,2182.97
12/28/2022,gold($/oz),2063.96,1955.49,2179.83
12/29/2022,gold($/oz),2065.18,1959.81,2179.48
12/30/2022,gold($/oz),2066.37,1951.69,2171.30
